login,name,location,followers,public_repos,impact_score
mabelolivera10,MABEL QUISPE OLIVERA,"LIMA, PERU",1198,88,0
devaige,Aige,"Pampa de Vaca, Torata, Mariscal Nieto  Moquegua 18100, Peru",1178,34,0
mriscoc,Miguel Risco-Castillo,"Lima, Peru",1110,72,0
apholdings,SoloPython,"Lima, Peru",674,55,0
joelibaceta,Joel Ibaceta,"Lima, Peru",654,531,0
CodigoEstudiante,Codigo Estudiante,Peru,613,150,0
csaybar,Cesar Aybar,"Lima, Peru",555,115,0
goandreus,Andres Chavez,Lima - Peru,550,157,0
emedinaa,Eduardo José Medina Alfaro,"Lima, Peru",506,219,0
